     n     repetition     times
     0     8686676     0.000000
    10     3421174     0.000000
    20     1327601     0.000001
    30      649870     0.000002
    40      327905     0.000003
    50      220184     0.000005
    60      148822     0.000007
    70      119822     0.000008
    80       88802     0.000011
    90       71406     0.000014
   100       58810     0.000017
   200       15818     0.000063
   300        7261     0.000138
   400        4159     0.000240
   500        2606     0.000384
   600        1861     0.000537
   700        1377     0.000726
   800        1042     0.000960
   900         824     0.001215
  1000         673     0.001486
  1100         549     0.001823
  1200         472     0.002121
  1300         400     0.002505
  1400         343     0.002915
  1500         303     0.003300
  1600         266     0.003763
  1700         233     0.004313
  1800         207     0.004841
  1900         188     0.005319
  2000         163     0.006153
